top_critic,review_type,review_score,review_content
False,Fresh,4/5,You are in a comfort zone and it is only you and the bear with a generous smile. Enjoy.
False,Fresh,B,"This series has officially become the ""Toy Story"" of anthropomorphic talking bear movies."
False,Fresh,B,"It's not as great as its predecessors, but it's still remarkably charming and fun."
False,Rotten,4/10,So slow it was almost un-bear-able.
False,Rotten,1/4,"The whole film is exhausting: boring, interminable lore-telling intercut with elaborate set-pieces showcasing Paddington’s clumsiness and cupidity."
True,Rotten,1/4,One of the most ill-conceived sequels in Disney history.
True,Fresh,3/5,The animation is impressive. This is an easy film to watch.
False,Fresh,3/5,"""Moana 2"" is fine. It’s neither great nor horrible, it just provides a comfortable adventure that follows the well-tread path created by the initial outing."
False,Fresh,3.5/4,"With a score of new songs, the voice cast, led beautifully by Cravalho, captures the doubt and determination Moana feels as she’s called to follow this epic quest."
False,Rotten,1/5,"Moana 2 somehow feels like a three-hour film crammed into an hour and 40 minutes. The animation is disappointing, the story is stretched well beyond its means, and the music is pure trash."
False,Fresh,3/5,The enjoyment [of the film]… is much more connected to the visual presentation than to a plot that is followed with much more indifference than attention.
False,Fresh,2.5/4,"You can’t help but notice myriad little shortcomings, which may be attributable to the shift from series to film."
False,Rotten,2/5,There is at no point any real reason to care about what's happening or what the stakes are.
False,Fresh,6/10,"Good, not great. Where are the stand out songs?"
False,Fresh,2.5/4,Moana 2 does enough to fit the bill of solid family entertainment. It accomplishes the most important thing for any sequel: reunite the original characters with each other and the audience.
True,Fresh,3/4,"“Warfare” is a viscerally impressive work. Your body feels it. But you may come away from it wondering what the larger point is, other than the fact that it happened to someone."
True,Rotten,2/5,Doesn’t a film like Warfare – impressively brutal and bloody as it is – functionally reduce combat to a Call of Duty cut scene if it refuses to engage with the why and how of it all?
False,Fresh,B,“Warfare” doesn’t just depict combat—it traps you inside.
False,Rotten,2.5/5,"You half expect Garland, Mendoza, and the cast to march on screen and start singing: “Who’s the leader of the club that’s made for you and me? M-I-C-K-E-Y, M-O-U-S-E! Forever let us hold our banner high! High! High! High!”"
False,Fresh,3/5,"Garland and Mendoza’s cinema of pure shock and awe takes hold of audiences with a relentless death grip... [but] Warfare finds itself sharing much in common with a slick piece of propaganda, depoliticizing something inherently political."
False,Fresh,4/4,Alex Garland and Ray Mendoza assault your senses with a 95-minute immersive experience that places you in the combat zone as a member of the Alpha One Navy SEAL team. Extraordinary.
False,Fresh,5/5,"There’s a real-time authenticity here underscored by first-rate performances, visceral action sequences, and a sound design that rattles you just like the warriors on screen. Caution: This one’s not for the squeamish."
False,Fresh,A,"“Warfare” may stay with you long afterward, but it’s kind of cathartic in its own strange way, like something you have to see to believe, and having seen it, wish it never had to happen to anyone. Ever."
False,Fresh,B,"It is redundant to every wartime reflection, in that it shows armed conflict to be stupid, senseless, and bad... But with its whole chest, it says “This is how a group of dudes in an awful situation remember that awful situation.”"
False,Fresh,4/5,"Based on memories of the actual SEALs involved, this hyper-violent, naturalistic portrayal of combat couldn't spring authentically from a civilian filmmaker."
True,Fresh,4/5,"The film, shot in oily gloom by Nico Aguilar, sets out to dispatch every passerby in fashions that would appal Caligula. Good old-fashioned disgusting fun. I had a blast."
True,Rotten,2/5,"Perkins’s film never explains how the monkey migrates so much, but follows it from pillar to post on an equal-opportunity killing spree. As spectacle, it’s garish."
False,Fresh,3/5,"In a break from his quietly moody horror movies, filmmaker Osgood Perkins embraces strange, cockeyed humor and gleefully excessive gore for this inventive yet odd Stephen King adaptation."
False,Fresh,4/5,"Give us a dozen The Monkey sequels with more trippy nightmare sequences, unnerving death stares from the shadows, and unhinged music cues that are so loud they crumble part of your soul. Unpredictable. Crazy gore. Absurd. This is a potential franchise."
False,Fresh,A-,"Perkins doesn’t let the plot’s twists and turns get in the way of the fun. At the same time, he remembers that there need to be genuine scares, and he conjures an ominous mood."
False,Rotten,2/5,Perkins seems more interested in formulating a mirage of monkey shines in this tonally uneven take on a noted Stephen King short story which manages only to succeed in overwhelming not one but two vacuous characterizations played by Theo James..
False,Rotten,2/4,"Despite its proficient execution, The Monkey struggles to find the right balance between the absurdity of its premise and the seriousness of its main themes. "
False,Fresh,6/10,"This ""Monkey"" shines by being scary and funny."
False,Rotten,5/10,This one has all of the right elements but goes extreme horror comedy and away from the more highbrow horror of Longlegs. It’s really dark all the way to the last moment and may not be for everyone but gorehounds will probably eat this up.
False,Fresh,3/5,The Monkey' has some beautiful death scenes that benefit from Oz Perkins' disturbing aesthetic. It also has surprise cameos that keep horror kids on their toes.
True,Fresh,5/5,"The world of Flow, like those of the best movies, is hallucinatory and its mood hypnotic, the rolling, seductive frames adding to the illusion of some powerful subconscious truth."
True,Fresh,3/5,"Flow shows both formidable technical brilliance and ingenuity, not least because it dispenses with dialogue — quizzical mews, chirrups and rhythmic doggy breaths replacing words."
False,Fresh,4/5,A visual breath of fresh air and delightful respite from reality.
False,Fresh,4/4,"a marvel of technical ingenuity, formal beauty, and deep reverence for life"
False,Fresh,4/4,It's an amazing accomplishment that rivals the animals' journey every step of the way.
False,Fresh,4/5,"What surely won over Oscar voters, though, is the dreamy animation, with colourful fishes, majestic buildings and a sky filled with stars."
False,Fresh,5/5,"Eschewing dialogue and any hint of anthropomorphism, the film’s painterly, DIY approach is thoroughly enchanting, liable to hold audiences rapt if they’re six or 60."
False,Fresh,4/5,"Animation purists, and their pets, will love it."
False,Fresh,5/5,"Emotional without succumbing fully to darkness, Flow is a masterful example of what animation can do when viewed from a different perspective. Following an award season fraught with debate, there’s no denying this gorgeous film its victory."
False,Fresh,4.5/5,"Flow is one of the most visually arresting films I have seen. As with the very best cinema though, its images continue to enhance its themes."
True,Fresh,B+,"""Wallis Island"" explores themes of creativity, grieving and the passage of time with empathy and compassion without ever becoming maudlin."
True,Fresh,4/5,"Under the gentle hand of Griffiths, The Ballad of Wallis Island is both hilarious and delicate, never even making the buffoonish Charles simply a figure of mockery."
False,Fresh,7/10,The low-key approach and winning performances meld well with the heartfelt narrative.
False,Fresh,3.5/4,The Ballad of Wallis Island possesses the kind of heart not often seen in films these days.
False,Fresh,4/5,The melodic tones compliment a relatable tale of love and loss that's packed with quite a few endearing laughs in what feels like a spiritual successor in tone to the cult favorite Once.
False,Fresh,A,"This feature-length remake of a charming 2007 short film tells of a self-obsessed, slightly has-been-ish musician who arrives on a remote island to play a gig for one well-heeled fan. Then his ex-partner arrives too. British cringe comedy at its best."
False,Fresh,B,A breezy film that rescues a ridiculous premise with some unexpected heart-warming moments.
False,Fresh,2.5/4,"The movie's a low-key charmer that promises more than it delivers, but what it delivers is nice enough."
False,Fresh,8/10,"The Ballad of Wallis Island is a film about grief and acceptance in romantic-comedy drama clothes. Its message, bittersweet as it is in parts, is hopeful, joyous and ultimately empowering."
False,Fresh,B,"A genial, understated, warmhearted fish-out-of-water story...as charming and quirky as the short was, if a bit overextended."
